Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1787839817,4,,Aggregated,0.200000,0.000000,27000,30000,33000,35000,38000,41000,41000,41000,41000,41000,41000,18,0,26000,26849.763294444227,10705.326700001024,41352.64570000072,352.1111111111111
1787839818,4,,Aggregated,0.200000,0.000000,27000,30000,33000,35000,38000,41000,41000,41000,41000,41000,41000,18,0,26000,26849.763294444227,10705.326700001024,41352.64570000072,352.1111111111111
1787839819,4,,Aggregated,0.200000,0.000000,26000,30000,33000,35000,38000,41000,41000,41000,41000,41000,41000,19,0,26000,26430.917410526155,10705.326700001024,41352.64570000072,338.36842105263156
1787839820,4,,Aggregated,0.200000,0.000000,26000,30000,33000,35000,38000,41000,41000,41000,41000,41000,41000,19,0,26000,26430.917410526155,10705.326700001024,41352.64570000072,338.36842105263156
1787839821,4,,Aggregated,0.200000,0.000000,26000,30000,33000,35000,38000,41000,41000,41000,41000,41000,41000,19,0,26000,26430.917410526155,10705.326700001024,41352.64570000072,338.36842105263156
1787839822,4,,Aggregated,0.200000,0.000000,26000,30000,33000,35000,38000,41000,41000,41000,41000,41000,41000,19,0,26000,26430.917410526155,10705.326700001024,41352.64570000072,338.36842105263156
1787839823,4,,Aggregated,0.200000,0.000000,26000,30000,33000,35000,38000,41000,41000,41000,41000,41000,41000,19,0,26000,26430.917410526155,10705.326700001024,41352.64570000072,338.36842105263156
1787839824,4,,Aggregated,0.200000,0.000000,26000,30000,33000,35000,38000,41000,41000,41000,41000,41000,41000,19,0,26000,26430.917410526155,10705.326700001024,41352.64570000072,338.36842105263156
1787839825,4,,Aggregated,0.200000,0.000000,26000,30000,33000,35000,38000,41000,41000,41000,41000,41000,41000,19,0,26000,26430.917410526155,10705.326700001024,41352.64570000072,338.36842105263156
1787839827,4,,Aggregated,0.200000,0.000000,26000,30000,33000,35000,38000,41000,41000,41000,41000,41000,41000,20,0,25000,26089.828794999812,10705.326700001024,41352.64570000072,338.55
1787839828,4,,Aggregated,0.200000,0.000000,26000,30000,33000,35000,38000,41000,41000,41000,41000,41000,41000,20,0,25000,26089.828794999812,10705.326700001024,41352.64570000072,338.55
1787839829,4,,Aggregated,0.200000,0.000000,26000,30000,33000,35000,38000,41000,41000,41000,41000,41000,41000,20,0,25000,26089.828794999812,10705.326700001024,41352.64570000072,338.55
1787839830,4,,Aggregated,0.200000,0.000000,26000,30000,33000,35000,38000,41000,41000,41000,41000,41000,41000,20,0,25000,26089.828794999812,10705.326700001024,41352.64570000072,338.55
1787839831,4,,Aggregated,0.200000,0.000000,26000,30000,33000,35000,38000,41000,41000,41000,41000,41000,41000,20,0,25000,26089.828794999812,10705.326700001024,41352.64570000072,338.55
1787839832,4,,Aggregated,0.200000,0.000000,26000,30000,33000,35000,38000,41000,41000,41000,41000,41000,41000,20,0,25000,26089.828794999812,10705.326700001024,41352.64570000072,338.55
1787839833,4,,Aggregated,0.100000,0.000000,25000,30000,32000,33000,35000,38000,41000,41000,41000,41000,41000,21,0,25000,25986.370957142623,10705.326700001024,41352.64570000072,338.3333333333333
1787839834,4,,Aggregated,0.100000,0.000000,25000,30000,32000,33000,35000,38000,41000,41000,41000,41000,41000,21,0,25000,25986.370957142623,10705.326700001024,41352.64570000072,338.3333333333333
